,Title,Director,Cast,TMDB_id,overview,genre,actorname_1,actorname_2,actorname_3,tag_all,tag_1,tag_2
1303,Alai Pesi,Murali Bharathi,"Akhil, Anu Krishnanouu, Singampuli",unknown,unknown,unknown,Akhil, Anu Krishnanouu, Singampuli,unknown unknown Murali Bharathi Akhil  Anu Krishnanouu  Singampuli,unknown Murali Bharathi Akhil  Anu Krishnanouu unknown,unknown Murali Bharathi Akhil  Singampuli
1304,Iruttu Araiyil Murattu Kuththu,Santhosh P. Jayakumar,"Gautham Karthik, Vaibhavi Shandilya, Sha Ra, Yashika Aannand, Chandrika Ravi",unknown,unknown,unknown,Gautham Karthik, Vaibhavi Shandilya, Sha Ra,unknown unknown Santhosh P. Jayakumar Gautham Karthik  Vaibhavi Shandilya  Sha Ra,unknown Santhosh P. Jayakumar Gautham Karthik  Vaibhavi Shandilya unknown,unknown Santhosh P. Jayakumar Gautham Karthik  Sha Ra
1305,Kaathiruppor Pattiyal,Balayya D. Rajasekhar,"Sachin, Nandita Swetha, Rajendran",unknown,unknown,unknown,Sachin, Nandita Swetha, Rajendran,unknown unknown Balayya D. Rajasekhar Sachin  Nandita Swetha  Rajendran,unknown Balayya D. Rajasekhar Sachin  Nandita Swetha unknown,unknown Balayya D. Rajasekhar Sachin  Rajendran
1306,Iravukku Aayiram Kangal,Mu. Maran,"Arulnithi, Ajmal, Mahima Nambiar, Vidya Pradeep",495503,"Three strangers, who were cheated by a three-member fraud gang, hatch plan to take revenge on their leader, and go to his home around same time. All of them get the shock of their life when they find someone murdered at the home.",Action Crime Thriller,Arulnithi, Ajmal, Mahima Nambiar,"Three strangers, who were cheated by a three-member fraud gang, hatch plan to take revenge on their leader, and go to his home around same time. All of them get the shock of their life when they find someone murdered at the home. Action Crime Thriller Mu. Maran Arulnithi  Ajmal  Mahima Nambiar","Action Crime Thriller Mu. Maran Arulnithi  Ajmal Three strangers, who were cheated by a three-member fraud gang, hatch plan to take revenge on their leader, and go to his home around same time. All of them get the shock of their life when they find someone murdered at the home.",Action Crime Thriller Mu. Maran Arulnithi  Mahima Nambiar
1307,Aaru Mudhal Aaru (Oru Iravu),M. G. Reddy,"Manjunath, Jayadeva",unknown,unknown,unknown,Manjunath, Jayadeva,unknown,unknown unknown M. G. Reddy Manjunath  Jayadeva unknown,unknown M. G. Reddy Manjunath  Jayadeva unknown,unknown M. G. Reddy Manjunath unknown
1308,Irumbu Thirai,P. S. Mithran,"Vishal, Samantha, Arjun",261756,unknown,Drama,Vishal, Samantha, Arjun, Drama P. S. Mithran Vishal  Samantha  Arjun,Drama P. S. Mithran Vishal  Samantha unknown,Drama P. S. Mithran Vishal  Arjun
1309,Amutha,P.S. Arjun,"Sriya Sree, Anees Shaz",526079,Amutha is a housewife who wakes up one day to find herself on a hospital bed and no idea how she landed there.,Thriller Crime Music,Sriya Sree, Anees Shaz,unknown,Amutha is a housewife who wakes up one day to find herself on a hospital bed and no idea how she landed there. Thriller Crime Music P.S. Arjun Sriya Sree  Anees Shaz unknown,Thriller Crime Music P.S. Arjun Sriya Sree  Anees Shaz Amutha is a housewife who wakes up one day to find herself on a hospital bed and no idea how she landed there.,Thriller Crime Music P.S. Arjun Sriya Sree unknown
1310,Bhaskar Oru Rascal,Siddique,"Arvind Swami, Amala Paul, Nikesha Patel, Aftab Shivdasani",467117,"Two children raised by single parents want to enjoy the happiness of a complete family. To achieve this, they try to unite their parents, but end up in trouble.",Comedy Action Romance,Arvind Swami, Amala Paul, Nikesha Patel,"Two children raised by single parents want to enjoy the happiness of a complete family. To achieve this, they try to unite their parents, but end up in trouble. Comedy Action Romance Siddique Arvind Swami  Amala Paul  Nikesha Patel","Comedy Action Romance Siddique Arvind Swami  Amala Paul Two children raised by single parents want to enjoy the happiness of a complete family. To achieve this, they try to unite their parents, but end up in trouble.",Comedy Action Romance Siddique Arvind Swami  Nikesha Patel
1311,18.05.2009,Kuppan Ganeshan,"Subash Chandra Bose, Dhanya",527688,coming soon..,Drama,Subash Chandra Bose, Dhanya,unknown,coming soon.. Drama Kuppan Ganeshan Subash Chandra Bose  Dhanya unknown,Drama Kuppan Ganeshan Subash Chandra Bose  Dhanya coming soon..,Drama Kuppan Ganeshan Subash Chandra Bose unknown
1312,Kaali,Kiruthiga Udhayanidhi,"Vijay Antony, Anjali, Sunaina, Amritha Aiyer, Shilpa Manjunath",66300,"After being released from jail, Kaali is in search of Raja Rao, a rich businessman who is responsible for the death of his family members.",Drama Action,Vijay Antony, Anjali, Sunaina,"After being released from jail, Kaali is in search of Raja Rao, a rich businessman who is responsible for the death of his family members. Drama Action Kiruthiga Udhayanidhi Vijay Antony  Anjali  Sunaina","Drama Action Kiruthiga Udhayanidhi Vijay Antony  Anjali After being released from jail, Kaali is in search of Raja Rao, a rich businessman who is responsible for the death of his family members.",Drama Action Kiruthiga Udhayanidhi Vijay Antony  Sunaina
