,Title,Director,Cast,TMDB_id,overview,genre,actorname_1,actorname_2,actorname_3,tag_all,tag_1,tag_2
0,Pugaippadam,Rajesh Lingam,"Amjad, Priya Anand, Harish",112113,"Guru, Nanda, Bala, Krishna, KK and Gowri are a group of college friends. Shiny becomes a part of their group. Krishna and Shiny are in love with each other but decide to keep their relationship a secret and things begin to unravel when Bala attempts suicide.",Drama,Amjad, Priya Anand, Harish,"Guru, Nanda, Bala, Krishna, KK and Gowri are a group of college friends. Shiny becomes a part of their group. Krishna and Shiny are in love with each other but decide to keep their relationship a secret and things begin to unravel when Bala attempts suicide. Drama Rajesh Lingam Amjad  Priya Anand  Harish","Drama Rajesh Lingam Amjad  Priya Anand Guru, Nanda, Bala, Krishna, KK and Gowri are a group of college friends. Shiny becomes a part of their group. Krishna and Shiny are in love with each other but decide to keep their relationship a secret and things begin to unravel when Bala attempts suicide.",Drama Rajesh Lingam Amjad  Priya Anand
1,Thunichal,Majith,"Arun Vijay, Swathika, Shiva Munjal, Ramana",112316,"Thunichal is a 2010 Indian Tamil-language action film written and directed by Majith. Starring Arun Vijay and newcomer Shiva Manjal, the film was released on 1 January 2010, after many delays.",Drama,Arun Vijay, Swathika, Shiva Munjal,"Thunichal is a 2010 Indian Tamil-language action film written and directed by Majith. Starring Arun Vijay and newcomer Shiva Manjal, the film was released on 1 January 2010, after many delays. Drama Majith Arun Vijay  Swathika  Shiva Munjal","Drama Majith Arun Vijay  Swathika Thunichal is a 2010 Indian Tamil-language action film written and directed by Majith. Starring Arun Vijay and newcomer Shiva Manjal, the film was released on 1 January 2010, after many delays.",Drama Majith Arun Vijay  Swathika
2,Kalasaaram,Kutty Radha,"Satish, Yathra",unknown,unknown,unknown,Satish, Yathra,unknown,unknown unknown Kutty Radha Satish  Yathra unknown,unknown Kutty Radha Satish  Yathra unknown,unknown Kutty Radha Satish  Yathra
3,Aayirathil Oruvan,Selvaraghavan,"Karthi Sivakumar, Reemma Sen, Andrea Jeremiah, Parthiban",69597,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty.",Action Adventure,Karthi Sivakumar, Reemma Sen, Andrea Jeremiah,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty. Action Adventure Selvaraghavan Karthi Sivakumar  Reemma Sen  Andrea Jeremiah","Action Adventure Selvaraghavan Karthi Sivakumar  Reemma Sen Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty.",Action Adventure Selvaraghavan Karthi Sivakumar  Reemma Sen
4,Kutty,M. Jawahar,"Dhanush, Shriya Saran, Sameer Dattani",445329,"The film revolves around a young girl who is forced into child labour working for an urban family after a tragedy in her own family. Paavaadai (Nassar) is a potter living in a village in the outskirts of Madurai. Even though his profession is in a miserable condition, he has high hopes for his daughter Kannammaa (Baby Swetha) and raises her with much affection. Unfortunately, he dies in an accident and this forces Kannammaa to be sent to work for an urban family.",unkown,Dhanush, Shriya Saran, Sameer Dattani,"The film revolves around a young girl who is forced into child labour working for an urban family after a tragedy in her own family. Paavaadai (Nassar) is a potter living in a village in the outskirts of Madurai. Even though his profession is in a miserable condition, he has high hopes for his daughter Kannammaa (Baby Swetha) and raises her with much affection. Unfortunately, he dies in an accident and this forces Kannammaa to be sent to work for an urban family.  M. Jawahar Dhanush  Shriya Saran  Sameer Dattani"," M. Jawahar Dhanush  Shriya Saran The film revolves around a young girl who is forced into child labour working for an urban family after a tragedy in her own family. Paavaadai (Nassar) is a potter living in a village in the outskirts of Madurai. Even though his profession is in a miserable condition, he has high hopes for his daughter Kannammaa (Baby Swetha) and raises her with much affection. Unfortunately, he dies in an accident and this forces Kannammaa to be sent to work for an urban family.", M. Jawahar Dhanush  Shriya Saran
5,Naanayam,Shakti S. Rajan,"Prasanna, Sibiraj, Ramya Raj, S. P. Balasubrahmanyam",69613,Ravi is an electronics engineer who works in a bank and is in love with Nandhini. Fareed is a criminal who claims that he can prove that Ravi has killed a man and blackmails him into robbing the bank.,Drama,Prasanna, Sibiraj, Ramya Raj,Ravi is an electronics engineer who works in a bank and is in love with Nandhini. Fareed is a criminal who claims that he can prove that Ravi has killed a man and blackmails him into robbing the bank. Drama Shakti S. Rajan Prasanna  Sibiraj  Ramya Raj,Drama Shakti S. Rajan Prasanna  Sibiraj Ravi is an electronics engineer who works in a bank and is in love with Nandhini. Fareed is a criminal who claims that he can prove that Ravi has killed a man and blackmails him into robbing the bank.,Drama Shakti S. Rajan Prasanna  Sibiraj
6,Porkkalam,Bandi Saroj Kumar,"Kishore, Sathyan, Smitha, Sampath Raj",112112,"Porkkalam (Tamil: போர்க்களம்; English: Battlefield) is a 2010 Indian Tamil-language action film directed by debutant Bandi Saroj Kumar. Starring Kishore of Polladhavan and Vennila Kabaddi Kuzhu fame, Tinnu Anand, who starred in Mani Ratnam's Nayagan and Bombay, comedy actor Sathyan and Smitha, a newcomer from Karnataka, in lead roles and seven artists as Villains, the film has musical score by Rohit Kulkarni and cinematography by J. Mahendran. The film was released on 14 January 2010.",Drama Action,Kishore, Sathyan, Smitha,"Porkkalam (Tamil: போர்க்களம்; English: Battlefield) is a 2010 Indian Tamil-language action film directed by debutant Bandi Saroj Kumar. Starring Kishore of Polladhavan and Vennila Kabaddi Kuzhu fame, Tinnu Anand, who starred in Mani Ratnam's Nayagan and Bombay, comedy actor Sathyan and Smitha, a newcomer from Karnataka, in lead roles and seven artists as Villains, the film has musical score by Rohit Kulkarni and cinematography by J. Mahendran. The film was released on 14 January 2010. Drama Action Bandi Saroj Kumar Kishore  Sathyan  Smitha","Drama Action Bandi Saroj Kumar Kishore  Sathyan Porkkalam (Tamil: போர்க்களம்; English: Battlefield) is a 2010 Indian Tamil-language action film directed by debutant Bandi Saroj Kumar. Starring Kishore of Polladhavan and Vennila Kabaddi Kuzhu fame, Tinnu Anand, who starred in Mani Ratnam's Nayagan and Bombay, comedy actor Sathyan and Smitha, a newcomer from Karnataka, in lead roles and seven artists as Villains, the film has musical score by Rohit Kulkarni and cinematography by J. Mahendran. The film was released on 14 January 2010.",Drama Action Bandi Saroj Kumar Kishore  Sathyan
7,Goa,Venkat Prabhu,"Jai, Premji Amaren, Vaibhav Reddy, Sneha, Melanie Marie, Piaa Bajpai",627194,"Three youths are born and brought up in a village. Their dream is to marry foreigners and live a fancy life abroad. To materialize their dream, they set off to Goa. Will they hit the jackpot there?",unkown,Jai, Premji Amaren, Vaibhav Reddy,"Three youths are born and brought up in a village. Their dream is to marry foreigners and live a fancy life abroad. To materialize their dream, they set off to Goa. Will they hit the jackpot there?  Venkat Prabhu Jai  Premji Amaren  Vaibhav Reddy"," Venkat Prabhu Jai  Premji Amaren Three youths are born and brought up in a village. Their dream is to marry foreigners and live a fancy life abroad. To materialize their dream, they set off to Goa. Will they hit the jackpot there?", Venkat Prabhu Jai  Premji Amaren
8,Jaggubhai,K. S. Ravikumar,"Sarath Kumar, Shriya Saran, Goundamani",78593,"Jagannathan, (Sarath Kumar) fondly known as ‘Jaggubhai’. is an Indian Police Officer with sharp methods. His way of dealing the criminals strikes terror in the underground world. Tough is just an ordinary word to describe this upright, straight forward police officer. Jaggubhai is sent to Australia on an important mission to deal with anti social elements there. In Australia, Jaggubai meets Meena (Srisha) and they both fall in love with each other. Jaggubai fails in his mission for which he came to Australia and the brief romance with Meena also ends abruptly....",Action Drama,Sarath Kumar, Shriya Saran, Goundamani,"Jagannathan, (Sarath Kumar) fondly known as ‘Jaggubhai’. is an Indian Police Officer with sharp methods. His way of dealing the criminals strikes terror in the underground world. Tough is just an ordinary word to describe this upright, straight forward police officer. Jaggubhai is sent to Australia on an important mission to deal with anti social elements there. In Australia, Jaggubai meets Meena (Srisha) and they both fall in love with each other. Jaggubai fails in his mission for which he came to Australia and the brief romance with Meena also ends abruptly.... Action Drama K. S. Ravikumar Sarath Kumar  Shriya Saran  Goundamani","Action Drama K. S. Ravikumar Sarath Kumar  Shriya Saran Jagannathan, (Sarath Kumar) fondly known as ‘Jaggubhai’. is an Indian Police Officer with sharp methods. His way of dealing the criminals strikes terror in the underground world. Tough is just an ordinary word to describe this upright, straight forward police officer. Jaggubhai is sent to Australia on an important mission to deal with anti social elements there. In Australia, Jaggubai meets Meena (Srisha) and they both fall in love with each other. Jaggubai fails in his mission for which he came to Australia and the brief romance with Meena also ends abruptly....",Action Drama K. S. Ravikumar Sarath Kumar  Shriya Saran
9,Kathai,Abhishek Shankar,"Shaan Kumar, Nivedhitha, Abhinay",unknown,unknown,unknown,Shaan Kumar, Nivedhitha, Abhinay,unknown unknown Abhishek Shankar Shaan Kumar  Nivedhitha  Abhinay,unknown Abhishek Shankar Shaan Kumar  Nivedhitha unknown,unknown Abhishek Shankar Shaan Kumar  Nivedhitha
10,Thairiyam,P. Kumaran,"P. Kumaran, Karthika, Deepu",112844,"Thairiyam (English: Braveness) is a 2010 Indian Tamil-language drama film written and directed by P. Kumaran. Produced by RB Creations, the film stars the director himself and Deepu, with Karthika also playing a role. The film was released on 29 January 2010  Kumaran saves his girlfriend, Deepu from the menacing Riyaz Khan. Following a duel with Kumaran, Riyaz slips into a coma but the intrigue lies in the fact that all Riyaz' friends are killed. Several twists and turns involving the evil-minded villain Kamaraj form the crux of the film.",Drama,P. Kumaran, Karthika, Deepu,"Thairiyam (English: Braveness) is a 2010 Indian Tamil-language drama film written and directed by P. Kumaran. Produced by RB Creations, the film stars the director himself and Deepu, with Karthika also playing a role. The film was released on 29 January 2010  Kumaran saves his girlfriend, Deepu from the menacing Riyaz Khan. Following a duel with Kumaran, Riyaz slips into a coma but the intrigue lies in the fact that all Riyaz' friends are killed. Several twists and turns involving the evil-minded villain Kamaraj form the crux of the film. Drama P. Kumaran P. Kumaran  Karthika  Deepu","Drama P. Kumaran P. Kumaran  Karthika Thairiyam (English: Braveness) is a 2010 Indian Tamil-language drama film written and directed by P. Kumaran. Produced by RB Creations, the film stars the director himself and Deepu, with Karthika also playing a role. The film was released on 29 January 2010  Kumaran saves his girlfriend, Deepu from the menacing Riyaz Khan. Following a duel with Kumaran, Riyaz slips into a coma but the intrigue lies in the fact that all Riyaz' friends are killed. Several twists and turns involving the evil-minded villain Kamaraj form the crux of the film.",Drama P. Kumaran P. Kumaran  Karthika
11,Thamizh Padam,C. S. Amudhan,"Shiva, Disha Pandey",107590,"""Thamizh Padam"" is mockumentary comedy film which parodies contemporary commercial films in Tamil cinema, mocking the stereotypical scenes.",Comedy,Shiva, Disha Pandey,unknown,"""Thamizh Padam"" is mockumentary comedy film which parodies contemporary commercial films in Tamil cinema, mocking the stereotypical scenes. Comedy C. S. Amudhan Shiva  Disha Pandey unknown","Comedy C. S. Amudhan Shiva  Disha Pandey ""Thamizh Padam"" is mockumentary comedy film which parodies contemporary commercial films in Tamil cinema, mocking the stereotypical scenes.",Comedy C. S. Amudhan Shiva  Disha Pandey
12,Aasal,Saran,"Ajith Kumar, Sameera Reddy, Bhavana",unknown,unknown,unknown,Ajith Kumar, Sameera Reddy, Bhavana,unknown unknown Saran Ajith Kumar  Sameera Reddy  Bhavana,unknown Saran Ajith Kumar  Sameera Reddy unknown,unknown Saran Ajith Kumar  Sameera Reddy
13,Theeradha Vilaiyattu Pillai,Thiru,"Vishal, Neetu Chandra, Tanushree Dutta, Sarah-Jane Dias",34632,"Karthik, a carefree management graduate, abstains from taking up a job. One day, he, along with his close friends, decides to conduct a straw poll by dating three women and then choosing the best one.",Comedy Romance,Vishal, Neetu Chandra, Tanushree Dutta,"Karthik, a carefree management graduate, abstains from taking up a job. One day, he, along with his close friends, decides to conduct a straw poll by dating three women and then choosing the best one. Comedy Romance Thiru Vishal  Neetu Chandra  Tanushree Dutta","Comedy Romance Thiru Vishal  Neetu Chandra Karthik, a carefree management graduate, abstains from taking up a job. One day, he, along with his close friends, decides to conduct a straw poll by dating three women and then choosing the best one.",Comedy Romance Thiru Vishal  Neetu Chandra
14,Rasikkum Seemane,R. K. Vidyadaran,"Srikanth, Navya Nair, Aravind Akash",262555,"Rasikkum Seemanae starring Srikanth and Navya Nair in lead roles.Srikanth, who has been struggling after his marriage, puts a lot of hope in this film. Srikanth's character Nandu is a person who adopts his own means to get what he wanted. For the first time in his career, Srikanth plays a role that has a negatives side to it.His character in the film, Nandu, takes advantage of others' weaknesses and blackmails them. Nandu comes across beautiful Gayatri played by Navya Nair and plots to win her love by blackmailing. Whether or not he succeeded in this endeavor is what the story is about.",Romance,Srikanth, Navya Nair, Aravind Akash,"Rasikkum Seemanae starring Srikanth and Navya Nair in lead roles.Srikanth, who has been struggling after his marriage, puts a lot of hope in this film. Srikanth's character Nandu is a person who adopts his own means to get what he wanted. For the first time in his career, Srikanth plays a role that has a negatives side to it.His character in the film, Nandu, takes advantage of others' weaknesses and blackmails them. Nandu comes across beautiful Gayatri played by Navya Nair and plots to win her love by blackmailing. Whether or not he succeeded in this endeavor is what the story is about. Romance R. K. Vidyadaran Srikanth  Navya Nair  Aravind Akash","Romance R. K. Vidyadaran Srikanth  Navya Nair Rasikkum Seemanae starring Srikanth and Navya Nair in lead roles.Srikanth, who has been struggling after his marriage, puts a lot of hope in this film. Srikanth's character Nandu is a person who adopts his own means to get what he wanted. For the first time in his career, Srikanth plays a role that has a negatives side to it.His character in the film, Nandu, takes advantage of others' weaknesses and blackmails them. Nandu comes across beautiful Gayatri played by Navya Nair and plots to win her love by blackmailing. Whether or not he succeeded in this endeavor is what the story is about.",Romance R. K. Vidyadaran Srikanth  Navya Nair
15,Azhukkan,Omesh Kesar,"Omesh Kesar, Neela, Sangeetha, Venu Aravind, Jayashree",unknown,unknown,unknown,Omesh Kesar, Neela, Sangeetha,unknown unknown Omesh Kesar Omesh Kesar  Neela  Sangeetha,unknown Omesh Kesar Omesh Kesar  Neela unknown,unknown Omesh Kesar Omesh Kesar  Neela
16,Innisai Kavalan,Wilfred Gomes,"Wilfred Gomes, Aarthipuri, Riyaz Khan",unknown,unknown,unknown,Wilfred Gomes, Aarthipuri, Riyaz Khan,unknown unknown Wilfred Gomes Wilfred Gomes  Aarthipuri  Riyaz Khan,unknown Wilfred Gomes Wilfred Gomes  Aarthipuri unknown,unknown Wilfred Gomes Wilfred Gomes  Aarthipuri
17,Vinnaithaandi Varuvaayaa,Gautham Vasudev Menon,"Silambarasan, Trisha",37941,"A young, aspiring filmmaker falls in love with a girl who moves into the house above his, but her sophisticated nature does more harm than good to him.",Drama Romance,Silambarasan, Trisha,unknown,"A young, aspiring filmmaker falls in love with a girl who moves into the house above his, but her sophisticated nature does more harm than good to him. Drama Romance Gautham Vasudev Menon Silambarasan  Trisha unknown","Drama Romance Gautham Vasudev Menon Silambarasan  Trisha A young, aspiring filmmaker falls in love with a girl who moves into the house above his, but her sophisticated nature does more harm than good to him.",Drama Romance Gautham Vasudev Menon Silambarasan  Trisha
18,Aval Peyar Thamizharasi,Meera Kathiravan,"Jai, Nandagi",79353,"Siva Rao (Veera Santhanam), is a Thol Pavai puppeteer who along to with his family goes around villages performing the art for his survival. He is struggling to make both ends meet.  When they land up in Tirunelveli, a rich man Chelladurai (Theodre Baskaran) decides to support the family for his young grandson Jothi (Jai) loves the art and their family. Thamizharasi (newcomer Nandhagi), the grand daughter of Siva Rao is enrolled in a local school, who grows up and works hard to pass out in flying colours in her higher secondary.  Even as she gets admission in an engineering college in Pune, Jothi and Thamizharasi develop affinity for each other. Unable to leave her, Jothi rapes her which changes her life.",Romance,Jai, Nandagi,unknown,"Siva Rao (Veera Santhanam), is a Thol Pavai puppeteer who along to with his family goes around villages performing the art for his survival. He is struggling to make both ends meet.  When they land up in Tirunelveli, a rich man Chelladurai (Theodre Baskaran) decides to support the family for his young grandson Jothi (Jai) loves the art and their family. Thamizharasi (newcomer Nandhagi), the grand daughter of Siva Rao is enrolled in a local school, who grows up and works hard to pass out in flying colours in her higher secondary.  Even as she gets admission in an engineering college in Pune, Jothi and Thamizharasi develop affinity for each other. Unable to leave her, Jothi rapes her which changes her life. Romance Meera Kathiravan Jai  Nandagi unknown","Romance Meera Kathiravan Jai  Nandagi Siva Rao (Veera Santhanam), is a Thol Pavai puppeteer who along to with his family goes around villages performing the art for his survival. He is struggling to make both ends meet.  When they land up in Tirunelveli, a rich man Chelladurai (Theodre Baskaran) decides to support the family for his young grandson Jothi (Jai) loves the art and their family. Thamizharasi (newcomer Nandhagi), the grand daughter of Siva Rao is enrolled in a local school, who grows up and works hard to pass out in flying colours in her higher secondary.  Even as she gets admission in an engineering college in Pune, Jothi and Thamizharasi develop affinity for each other. Unable to leave her, Jothi rapes her which changes her life.",Romance Meera Kathiravan Jai  Nandagi
19,Kumari Pennin Ulathile,S. Kishore,"Chandra Haasan, Sippy, S. Kishore",unknown,unknown,unknown,Chandra Haasan, Sippy, S. Kishore,unknown unknown S. Kishore Chandra Haasan  Sippy  S. Kishore,unknown S. Kishore Chandra Haasan  Sippy unknown,unknown S. Kishore Chandra Haasan  Sippy
20,Thambikku Indha Ooru,Badri,"Bharath, Sana Khan, Madalsa Sharma",66231,Thambikku Indha Ooru film revolves around a youngster who goes in search of his lover. Sana Khan plays a tennis player in this film.,Action Drama,Bharath, Sana Khan, Madalsa Sharma,Thambikku Indha Ooru film revolves around a youngster who goes in search of his lover. Sana Khan plays a tennis player in this film. Action Drama Badri Bharath  Sana Khan  Madalsa Sharma,Action Drama Badri Bharath  Sana Khan Thambikku Indha Ooru film revolves around a youngster who goes in search of his lover. Sana Khan plays a tennis player in this film.,Action Drama Badri Bharath  Sana Khan
21,Veerasekaran,Sathish Kumar,"Veerasamar, Amala Paul, Prathap K. Pothan",unknown,unknown,unknown,Veerasamar, Amala Paul, Prathap K. Pothan,unknown unknown Sathish Kumar Veerasamar  Amala Paul  Prathap K. Pothan,unknown Sathish Kumar Veerasamar  Amala Paul unknown,unknown Sathish Kumar Veerasamar  Amala Paul
22,Azhagaana Ponnuthan,Thiru,"Namitha, Raj Karthik",unknown,unknown,unknown,Namitha, Raj Karthik,unknown,unknown unknown Thiru Namitha  Raj Karthik unknown,unknown Thiru Namitha  Raj Karthik unknown,unknown Thiru Namitha  Raj Karthik
23,Karunai,Ilan,"Ilan, Gayathri Rajagopal, Master Balaji",unknown,unknown,unknown,Ilan, Gayathri Rajagopal, Master Balaji,unknown unknown Ilan Ilan  Gayathri Rajagopal  Master Balaji,unknown Ilan Ilan  Gayathri Rajagopal unknown,unknown Ilan Ilan  Gayathri Rajagopal
24,Maathi Yosi,Nandha Periyasamy,"Shammu, Harish, Gopal, Alex, Lokesh",116646,"Maathi Yosi (English: Think Differently) is a 2010 Indian Tamil-language drama film written and directed by Nanda Periyasami. Starring Kanchivaram fame Shammu along with newcomers Harish, Gopal, Alex and Lokesh in the lead roles, the film opened to mixed and negative reviews",unkown,Shammu, Harish, Gopal,"Maathi Yosi (English: Think Differently) is a 2010 Indian Tamil-language drama film written and directed by Nanda Periyasami. Starring Kanchivaram fame Shammu along with newcomers Harish, Gopal, Alex and Lokesh in the lead roles, the film opened to mixed and negative reviews  Nandha Periyasamy Shammu  Harish  Gopal"," Nandha Periyasamy Shammu  Harish Maathi Yosi (English: Think Differently) is a 2010 Indian Tamil-language drama film written and directed by Nanda Periyasami. Starring Kanchivaram fame Shammu along with newcomers Harish, Gopal, Alex and Lokesh in the lead roles, the film opened to mixed and negative reviews", Nandha Periyasamy Shammu  Harish
25,Yathumaagi,R. Balakumar,"Sachin, Sunaina",258583,Anand is a photographer who befriends a shy Annalakshmi. The conservative-looking girl eventually falls in love with him but his true intentions are revealed when he opts for an arranged marriage.,Romance Drama,Sachin, Sunaina,unknown,Anand is a photographer who befriends a shy Annalakshmi. The conservative-looking girl eventually falls in love with him but his true intentions are revealed when he opts for an arranged marriage. Romance Drama R. Balakumar Sachin  Sunaina unknown,Romance Drama R. Balakumar Sachin  Sunaina Anand is a photographer who befriends a shy Annalakshmi. The conservative-looking girl eventually falls in love with him but his true intentions are revealed when he opts for an arranged marriage.,Romance Drama R. Balakumar Sachin  Sunaina
26,Kacheri Arambam,Thiraivannan,"Jiiva, Poonam Bajwa, J. D. Chakravarthy",63662,"The film begins at a journey in train where Paari (Jeeva) looks back at everything. Cut to the beginning, one remote village in Ramanathapuram. Paari is a do-gooder helping everyone in need. A magnanimous man, he gives anything and everything to others if they ask for. Promising his dad (Azhagan Perumal) to earn more, Paari sets out to Chennai. But he faces more challenges. He meets a young girl Madhi (Poonam Bajwa) and falls in love with her. Some goons also cause trouble for Paari. Meanwhile, Sivamani (J D Chakravarthy), the dreaded but sophisticated don of the city is getting ready to marry Madhu. When the two stories meet, chaos ensue, it is now up to Paari and Sivamani to sort it out.",Action Drama,Jiiva, Poonam Bajwa, J. D. Chakravarthy,"The film begins at a journey in train where Paari (Jeeva) looks back at everything. Cut to the beginning, one remote village in Ramanathapuram. Paari is a do-gooder helping everyone in need. A magnanimous man, he gives anything and everything to others if they ask for. Promising his dad (Azhagan Perumal) to earn more, Paari sets out to Chennai. But he faces more challenges. He meets a young girl Madhi (Poonam Bajwa) and falls in love with her. Some goons also cause trouble for Paari. Meanwhile, Sivamani (J D Chakravarthy), the dreaded but sophisticated don of the city is getting ready to marry Madhu. When the two stories meet, chaos ensue, it is now up to Paari and Sivamani to sort it out. Action Drama Thiraivannan Jiiva  Poonam Bajwa  J. D. Chakravarthy","Action Drama Thiraivannan Jiiva  Poonam Bajwa The film begins at a journey in train where Paari (Jeeva) looks back at everything. Cut to the beginning, one remote village in Ramanathapuram. Paari is a do-gooder helping everyone in need. A magnanimous man, he gives anything and everything to others if they ask for. Promising his dad (Azhagan Perumal) to earn more, Paari sets out to Chennai. But he faces more challenges. He meets a young girl Madhi (Poonam Bajwa) and falls in love with her. Some goons also cause trouble for Paari. Meanwhile, Sivamani (J D Chakravarthy), the dreaded but sophisticated don of the city is getting ready to marry Madhu. When the two stories meet, chaos ensue, it is now up to Paari and Sivamani to sort it out.",Action Drama Thiraivannan Jiiva  Poonam Bajwa
27,Mundhinam Paartheney,Magizh Thirumeni,"Sanjay, Ekta Ghosla, Lizna",230275,"The story unfolds in London, where Sanjay (Sanjay), narrates about his 'kind' of girl, and talks about love. Cut to flashback, the hero meets Pooja.  He tries to impress her in all possible ways. But his hopes are shattered when he comes to know that she is getting ready for a marriage with a NRI youth. Then comes Aarthi (Ekta Khosla), a dance tutor. She is a girl with traditional ideas but modern outlook. Unfortunately, the hero's attempts to settle down with her gets jinxed. Then enters Anu, Sanjay's colleague. Does he finds her apt for him forms the rest.",Comedy Romance Drama,Sanjay, Ekta Ghosla, Lizna,"The story unfolds in London, where Sanjay (Sanjay), narrates about his 'kind' of girl, and talks about love. Cut to flashback, the hero meets Pooja.  He tries to impress her in all possible ways. But his hopes are shattered when he comes to know that she is getting ready for a marriage with a NRI youth. Then comes Aarthi (Ekta Khosla), a dance tutor. She is a girl with traditional ideas but modern outlook. Unfortunately, the hero's attempts to settle down with her gets jinxed. Then enters Anu, Sanjay's colleague. Does he finds her apt for him forms the rest. Comedy Romance Drama Magizh Thirumeni Sanjay  Ekta Ghosla  Lizna","Comedy Romance Drama Magizh Thirumeni Sanjay  Ekta Ghosla The story unfolds in London, where Sanjay (Sanjay), narrates about his 'kind' of girl, and talks about love. Cut to flashback, the hero meets Pooja.  He tries to impress her in all possible ways. But his hopes are shattered when he comes to know that she is getting ready for a marriage with a NRI youth. Then comes Aarthi (Ekta Khosla), a dance tutor. She is a girl with traditional ideas but modern outlook. Unfortunately, the hero's attempts to settle down with her gets jinxed. Then enters Anu, Sanjay's colleague. Does he finds her apt for him forms the rest.",Comedy Romance Drama Magizh Thirumeni Sanjay  Ekta Ghosla
28,Angadi Theru,Vasanthabalan,"Mahesh, Anjali",39525,"Angaadi Theru (English: Market Street) is a 2010 Indian Tamil drama film written and directed by Vasanthabalan of Veyil fame, starring debutant Mahesh and Anjali in the lead roles. The film, the title of which refering to the Ranganathan Street in Chennai where the story plays, also features actress Sneha appearing in a cameo role as herself and music jointly composed by Vijay Antony and G. V. Prakash Kumar.[1] An Ayngaran International production, the film was launched on 11 February 2008 [2] and released on 26 March 2010 to critical acclaim.",Drama Romance,Mahesh, Anjali,unknown,"Angaadi Theru (English: Market Street) is a 2010 Indian Tamil drama film written and directed by Vasanthabalan of Veyil fame, starring debutant Mahesh and Anjali in the lead roles. The film, the title of which refering to the Ranganathan Street in Chennai where the story plays, also features actress Sneha appearing in a cameo role as herself and music jointly composed by Vijay Antony and G. V. Prakash Kumar.[1] An Ayngaran International production, the film was launched on 11 February 2008 [2] and released on 26 March 2010 to critical acclaim. Drama Romance Vasanthabalan Mahesh  Anjali unknown","Drama Romance Vasanthabalan Mahesh  Anjali Angaadi Theru (English: Market Street) is a 2010 Indian Tamil drama film written and directed by Vasanthabalan of Veyil fame, starring debutant Mahesh and Anjali in the lead roles. The film, the title of which refering to the Ranganathan Street in Chennai where the story plays, also features actress Sneha appearing in a cameo role as herself and music jointly composed by Vijay Antony and G. V. Prakash Kumar.[1] An Ayngaran International production, the film was launched on 11 February 2008 [2] and released on 26 March 2010 to critical acclaim.",Drama Romance Vasanthabalan Mahesh  Anjali
29,Padagasalai,J. Tamil,"Satya, Aravind, R. Sanjay, Iniya, Preethi Pushpan",unknown,unknown,unknown,Satya, Aravind, R. Sanjay,unknown unknown J. Tamil Satya  Aravind  R. Sanjay,unknown J. Tamil Satya  Aravind unknown,unknown J. Tamil Satya  Aravind
30,Paiyaa,Linguswamy,"Karthi, Tamannaah Bhatia, Milind Soman",39523,"Shiva, an engineering graduate, is not serious about his job or future even when his friends advise him about life. He falls in love with a girl he saw at a bus stop and finally gets to ride with her in a car.",Action Drama,Karthi, Tamannaah Bhatia, Milind Soman,"Shiva, an engineering graduate, is not serious about his job or future even when his friends advise him about life. He falls in love with a girl he saw at a bus stop and finally gets to ride with her in a car. Action Drama Linguswamy Karthi  Tamannaah Bhatia  Milind Soman","Action Drama Linguswamy Karthi  Tamannaah Bhatia Shiva, an engineering graduate, is not serious about his job or future even when his friends advise him about life. He falls in love with a girl he saw at a bus stop and finally gets to ride with her in a car.",Action Drama Linguswamy Karthi  Tamannaah Bhatia
31,Sivappu Mazhai,V. Krishnamurthy,"Suresh Joachim, Meera Jasmine",63828,"The film revolves around Nandhan (Suresh Joachim), a Lankan youth who kidnaps Meera Jasmine, a Minister's daughter and a television journalist. The Minister (Suman) is helped by the Director General of Police (Rajeev) and his subordinate (Bose Venkat) to rescue Meera. Things take a turn when they get an interesting demand from Nandhan seeking the release of a Lankan national detained by police. Why and for what the demand is forms the crux.",unkown,Suresh Joachim, Meera Jasmine,unknown,"The film revolves around Nandhan (Suresh Joachim), a Lankan youth who kidnaps Meera Jasmine, a Minister's daughter and a television journalist. The Minister (Suman) is helped by the Director General of Police (Rajeev) and his subordinate (Bose Venkat) to rescue Meera. Things take a turn when they get an interesting demand from Nandhan seeking the release of a Lankan national detained by police. Why and for what the demand is forms the crux.  V. Krishnamurthy Suresh Joachim  Meera Jasmine unknown"," V. Krishnamurthy Suresh Joachim  Meera Jasmine The film revolves around Nandhan (Suresh Joachim), a Lankan youth who kidnaps Meera Jasmine, a Minister's daughter and a television journalist. The Minister (Suman) is helped by the Director General of Police (Rajeev) and his subordinate (Bose Venkat) to rescue Meera. Things take a turn when they get an interesting demand from Nandhan seeking the release of a Lankan national detained by police. Why and for what the demand is forms the crux.", V. Krishnamurthy Suresh Joachim  Meera Jasmine
